SalesVsPurchases,EmployeeGrowth,TotalSales,ClaimCredits,NetIncome,GrossLoss,Inventories,GrossRevenue,RawMaterials,FixedAssets,TaxEvasion
SVltPV,EGincrTPincr,TSincrTPincr,UnusualCC,NIincrTIincr,GLdecrTaxdecr,INVincrDIincr,GRincrTPincr,RMPCdecrFPSincr,FAincrTPdecr,Medium
SVgtPV,EGincrTPdecr,TSincrTPdecr,UnusualCC,NIincrTIincr,GLincrTaxdecr,INVdecrDIincr,GRincrTPdecr,RMPCdecrFPSincr,FAincrTPincr,High
SVgtPV,EGdecrTPincr,TSdecrTPincr,UnusualCC,NIincrTIdecr,GLdecrTaxincr,INVdecrDIincr,GRdecrTPincr,RMPCincrFPSdecr,FAdecrTPincr,Low
SVltPV,EGdecrTPincr,TSincrTPincr,UsualCC,NIdecrTIincr,GLdecrTaxdecr,INVincrDIdecr,GRdecrTPincr,RMPCdecrFPSincr,FAincrTPdecr,Low
SVeqPV,EGincrTPdecr,TSdecrTPincr,UsualCC,NIdecrTIincr,GLdecrTaxincr,INVincrDIdecr,GRincrTPdecr,RMPCdecrFPSincr,FAdecrTPincr,Low
SVgtPV,EGdecrTPincr,TSincrTPdecr,UsualCC,NIincrTIincr,GLincrTaxdecr,INVincrDIdecr,GRdecrTPincr,RMPCincrFPSincr,FAincrTPincr,Medium
SVltPV,EGdecrTPincr,TSincrTPincr,UnusualCC,NIdecrTIincr,GLdecrTaxdecr,INVincrDIdecr,GRincrTPincr,RMPCincrFPSincr,FAincrTPincr,Medium
SVgtPV,EGdecrTPincr,TSincrTPdecr,UnusualCC,NIdecrTIincr,GLdecrTaxincr,INVdecrDIincr,GRincrTPincr,RMPCincrFPSdecr,FAdecrTPincr,Low
SVltPV,EGincrTPincr,TSincrTPincr,UnusualCC,NIdecrTIincr,GLdecrTaxdecr,INVdecrDIincr,GRincrTPdecr,RMPCdecrFPSincr,FAincrTPincr,Low
SVgtPV,EGincrTPincr,TSincrTPdecr,UsualCC,NIincrTIdecr,GLdecrTaxdecr,INVincrDIincr,GRincrTPincr,RMPCdecrFPSincr,FAdecrTPincr,Medium
SVltPV,EGincrTPdecr,TSincrTPincr,UnusualCC,NIincrTIdecr,GLincrTaxdecr,INVincrDIdecr,GRincrTPdecr,RMPCincrFPSdecr,FAincrTPincr,High
SVgtPV,EGdecrTPincr,TSdecrTPincr,UsualCC,NIincrTIincr,GLdecrTaxdecr,INVincrDIdecr,GRdecrTPincr,RMPCincrFPSincr,FAincrTPincr,Medium
SVeqPV,EGincrTPincr,TSincrTPdecr,UsualCC,NIincrTIincr,GLincrTaxdecr,INVdecrDIincr,GRincrTPincr,RMPCdecrFPSincr,FAdecrTPincr,Low
SVgtPV,EGincrTPdecr,TSincrTPdecr,UnusualCC,NIincrTIdecr,GLdecrTaxincr,INVincrDIdecr,GRdecrTPincr,RMPCincrFPSdecr,FAincrTPincr,High
SVeqPV,EGincrTPdecr,TSincrTPincr,UsualCC,NIincrTIdecr,GLdecrTaxincr,INVdecrDIincr,GRincrTPincr,RMPCdecrFPSincr,FAincrTPdecr,Medium
SVeqPV,EGincrTPincr,TSincrTPdecr,UsualCC,NIincrTIincr,GLincrTaxdecr,INVincrDIdecr,GRdecrTPincr,RMPCdecrFPSincr,FAincrTPincr,Medium
SVgtPV,EGdecrTPincr,TSincrTPdecr,UsualCC,NIincrTIincr,GLdecrTaxincr,INVincrDIincr,GRincrTPdecr,RMPCincrFPSdecr,FAdecrTPincr,Medium
SVeqPV,EGincrTPdecr,TSincrTPincr,UsualCC,NIdecrTIincr,GLdecrTaxdecr,INVdecrDIincr,GRincrTPincr,RMPCdecrFPSincr,FAincrTPdecr,Medium
SVgtPV,EGdecrTPincr,TSdecrTPincr,UnusualCC,NIincrTIdecr,GLdecrTaxdecr,INVincrDIincr,GRincrTPincr,RMPCdecrFPSincr,FAincrTPdecr,Medium
SVltPV,EGdecrTPincr,TSincrTPincr,UsualCC,NIdecrTIincr,GLdecrTaxincr,INVdecrDIincr,GRincrTPdecr,RMPCincrFPSdecr,FAincrTPincr,Low
SVgtPV,EGdecrTPincr,TSdecrTPincr,UsualCC,NIincrTIdecr,GLdecrTaxincr,INVdecrDIincr,GRincrTPdecr,RMPCdecrFPSincr,FAincrTPdecr,Low
SVgtPV,EGdecrTPincr,TSincrTPdecr,UnusualCC,NIincrTIincr,GLincrTaxdecr,INVincrDIdecr,GRdecrTPincr,RMPCincrFPSdecr,FAincrTPdecr,High
SVgtPV,EGdecrTPincr,TSdecrTPincr,UnusualCC,NIdecrTIincr,GLincrTaxdecr,INVdecrDIincr,GRdecrTPincr,RMPCincrFPSdecr,FAincrTPincr,Low
SVgtPV,EGincrTPincr,TSincrTPdecr,UnusualCC,NIincrTIincr,GLincrTaxdecr,INVdecrDIincr,GRincrTPdecr,RMPCdecrFPSincr,FAincrTPincr,Medium
SVltPV,EGincrTPdecr,TSincrTPdecr,UsualCC,NIdecrTIincr,GLdecrTaxincr,INVincrDIincr,GRincrTPdecr,RMPCdecrFPSincr,FAdecrTPincr,Low
SVeqPV,EGincrTPdecr,TSincrTPdecr,UnusualCC,NIdecrTIincr,GLdecrTaxdecr,INVincrDIincr,GRdecrTPincr,RMPCincrFPSincr,FAdecrTPincr,Medium
SVltPV,EGincrTPincr,TSincrTPincr,UsualCC,NIincrTIdecr,GLdecrTaxdecr,INVincrDIincr,GRdecrTPincr,RMPCincrFPSdecr,FAdecrTPincr,Medium
SVeqPV,EGdecrTPincr,TSincrTPincr,UsualCC,NIincrTIdecr,GLdecrTaxdecr,INVdecrDIincr,GRincrTPdecr,RMPCdecrFPSincr,FAincrTPdecr,Medium
SVgtPV,EGdecrTPincr,TSincrTPincr,UnusualCC,NIincrTIincr,GLdecrTaxdecr,INVincrDIdecr,GRincrTPdecr,RMPCincrFPSdecr,FAdecrTPincr,High
SVgtPV,EGincrTPdecr,TSincrTPincr,UnusualCC,NIdecrTIincr,GLincrTaxdecr,INVdecrDIincr,GRincrTPincr,RMPCincrFPSdecr,FAdecrTPincr,Medium
SVltPV,EGdecrTPincr,TSdecrTPincr,UsualCC,NIincrTIdecr,GLincrTaxdecr,INVincrDIdecr,GRdecrTPincr,RMPCdecrFPSincr,FAincrTPincr,Low
SVeqPV,EGincrTPincr,TSincrTPincr,UnusualCC,NIincrTIincr,GLdecrTaxincr,INVincrDIdecr,GRdecrTPincr,RMPCincrFPSincr,FAincrTPincr,Medium
SVeqPV,EGincrTPdecr,TSincrTPincr,UnusualCC,NIincrTIincr,GLdecrTaxdecr,INVincrDIincr,GRincrTPdecr,RMPCdecrFPSincr,FAincrTPincr,High
SVeqPV,EGincrTPdecr,TSincrTPdecr,UnusualCC,NIdecrTIincr,GLdecrTaxincr,INVdecrDIincr,GRdecrTPincr,RMPCincrFPSincr,FAincrTPincr,Low
SVltPV,EGdecrTPincr,TSincrTPdecr,UsualCC,NIincrTIdecr,GLdecrTaxdecr,INVincrDIdecr,GRincrTPdecr,RMPCincrFPSdecr,FAincrTPdecr,High
